"basec_id","project_title","multi_or_monocentric","principal_investigator","investigational_sites","type","study_phase","study_category","lead_ec","local_ecs","final_decition_date"
2016-01655,"The impact of assisted transfer activities on
wheelchair users' dignity: A qualitative
study on wheelchair users' and health
professionals' perceptions in Switzerland.
(masters' thesis EKNZ)",monocentric,Dr. med. Hans Georg Koch,"Schweizer Paraplegiker-
Vereinigung, Nottwil","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,28.11.2016
2016-01661,"Die Lebensqualität von Menschen mit einer
Rückenmarksläsion im Hinblick auf die
neurogene Blasenfunktionsstörung – Eine
Querschnittstudie",monocentric,Dr. Inge-Marie Velstra,"Schweizer Paraplegiker-
Zentrum, Nottwil","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,15.11.2016
2016-01672,"Visual perception during involuntary eye
movements",monocentric,Joëlle Joss,"Fachhochschule
Nordwestschweiz, Olten","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,08.11.2016
2016-01673,"Dynamics of circulating tumor cell clusters
entrapment in 3D human-like capillary
networks",monocentric,Prof. Dr. Nicola Aceto,"University of Basel and
University Hospital Basel,
Basel",deceased persons,,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,24.10.2016
2016-01676,"Functional outcome of nerve sparing
sacrocolpopexy",monocentric,"Dr.med. Corina
Christmann","Neue Frauenklinik
Kantonsspital Luzern,
Luzern","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,12.04.2017
2016-01678,"Renin-angiotensin-system (RAS) peptide
profiles in patients with treatment-
resistant arterial hypertension (TRHT-01
study). An observational single centre
study.",monocentric,"PD Dr. med. Manuel
Haschke","University Hospital Basel,
Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,08.11.2016
2016-01688,"A prospective observational trial on
sentinel lymph node biopsy in patients
with early stage cervical cancer",monocentric,Prof. Dr. Andreas Günthert,"Frauenklinik, Luzern","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,16.03.2017
2016-01691,"Phase I Study of Oral PQR309 in Patients
with Advanced Solid Tumors",monocentric,Dr. Andreas Wicki,"Universitätsspital Basel,
Basel",clinical trial,phase 1,C,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,21.11.2016
2016-01692,"Measurement of coagulation activation
using the coagulation parameters
INNOVANCE® LOCI® F1+2 and on
INNOVANCE® LOCI® hs D-Dimer in Patients
under Rivaroxaban® Therapy or Prophylaxis",monocentric,Dr. med. Adriana Méndez,"Kantonsspital Aarau, Aarau","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,28.11.2016
2016-01696,"Optical Coherence Tomography in
Bioresorbable Vascualar Scaffolds: A
prospective multicentre registry of optical
coherence tomography Imaging in patients
receiving bioresorbable vascular scaffolds:
OCT-BVS-Registry",multicentric,PD Dr. med. Florim Cuculi,"Luzerner Kantonsspital ,
Luzern
University Hospital Basel,
Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,19.01.2017
2016-01708,"A Phase IIIb/IV Safety and Efficacy Trial of
Flat Dose Nivolumab in Combination with
Ipilimumab in Participants with Non-Small
Cell Lung Cancer",multicentric,"PD Dr. med. Dr. phil. nat.
Sacha Rothschild","Universitätsspital Basel,
Basel
Universitätsspital Zürich,
Klinik für Onkologie, 8091
Zürich",clinical trial,phase 3,C,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Kantonale
Ethikkommission
Zürich",28.11.2016
2016-01714,"Smartphone app and carbon monoxide self-
monitoring support for smoking cessation:
a randomised controlled trial nested into
the Swiss HIV Cohort Study",multicentric,Prof. Heiner Bucher,"Basel Institute for Clinical
Epidemiology &
Biostatistics
Universitätsspital Basel,
Basel
Inselspital Bern, Bern
University Hospital Basel,
Basel
Kantonsspital St. Gallen,
St. Gallen
Ospedale Regionale di
Lugano, Lugano
CHUV, Lausanne
Universitätsspital Zürich,
Zürich",clinical trial,,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)
Comitato etico
cantonale Ticino",04.05.2017
2016-01719,"Vergleich zweier Geräte zur
Achsenlängenmessung am Auge",monocentric,"PD Dr. med. Pascal
Knecht-Bösch","Augenpraxis
Centerpassage , Wettingen","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,13.02.2017
2016-01724,"Proteinexpression und genomische Analyse
von Sarkomarchivpräparaten",monocentric,PD Dr. med. Sylvia Höller,"Institut für Pathologie,
Universitätspital  , Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,28.10.2016
2016-01734,"EEG resting-state connectivity and
psychosis: Dopaminergic influences",monocentric,PD Dr. Christina Andreou,"Universitäre
Psychiatrische Kliniken
Basel, Basel","non clinical, involving
persons",,B,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,10.01.2017
2016-01735,"Prospektive Systemanalyse der saisonalen
Influenza – Virustransmission und
Evolution in der Stadt Basel",monocentric,"PD Dr.med. Dr.phil. Adrian
Egli","Universitätsspital Basel,
4031 Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,21.11.2016
2016-01739,"Determination of circulating factors in the
COPD resistance exercise training study",monocentric,Sophie Lemire-Brachat,"NIBR, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.11.2016
2016-01743,"Assessing Phenotypic Markers of Frailty in
the Multicenter AIDS Cohort Study (MACS)",monocentric,Dr. Sophie Brachat,"NIBR, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,12.04.2017
2016-01747,"Multi-center statistical evaluation of
routine serum and csf measurements to
validate formulas of intrathecal production.",monocentric,PD Dr Axel Regeniter,"Basel University Hospital,
Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,15.06.2017
2016-01748,"The landscape of long non-coding RNAs in
triple negative breast cancers",monocentric,"Prof. Luigi Maria
Terracciano","University Hospital Basel,
Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,22.11.2016
2016-01750,"Comparison of 3 contrast sensitivity tests
in ophthamlmology",monocentric,kerstin ulrich,"Uni Basel, basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.01.2017
2016-01754,"Messung der Influenza-spezifischen
Antikörper Antwort bei gesunden
Blutspendern wohnhaft in Basel",monocentric,PD Dr. Dr. Adrian Egli,"Universitätsspital, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,22.11.2016
2016-01759,"ACURATE neoTM AS Aortic Bioprosthesis for
Implantation using the ACURATE neoTM AS
TF Transfemoral Delivery System in
Patients with Severe Aortic Stenosis
Protocol Number: 2016-01
ACURATE neoTM AS Aortenklappen-
Bioprothese zur Implantation mit dem
ACURATE neoTM AS TF transfemoralen
Einführsystem bei Patienten
mit schwerer Aortenstenose
Protokoll-Nr.: 2016-01",monocentric,"PD Dr. med Stefan
Toggweiler","Luzerner Kantonsspital,
Luzern",clinical trial,,C,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.01.2017
2016-01762,"Travellers’ diarrhoea in European travellers
to tropical and subtropical countries – a
multicentre observational cohort study on
geographic distribution, symptoms and
antimicrobial resistance of causing bacteria",monocentric,Dr. med. Esther Künzli,"Swiss Tropical and Public
Health Institute, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,12.12.2016
2016-01765,"Clinical Outcome of spot-scanning proton
radiation therapy for Ewing sarcoma
patients treated at Paul Scherrer Institute",monocentric,Prof. Dr. Damien C. Weber,"Paul Scherrer Institut,
Zentrum für
Protonentherapie, 5232
Villigen PSI West","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.11.2016
2016-01766,"Pharmacokinetics of the “Basel”
Phenotyping Cocktail – Combination
Capsule
A Single-centre, open-label randomized 2-
period crossover study to characterize the
pharmacokinetic and phenotyping
properties of the “Basel” phenotyping
cocktail combination capsule in healthy
male adults",monocentric,Pro. Stephan Krähenbühl,"Clinical Pharmacology and
Toxicology, University
Hospital Basel, Basel",clinical trial,,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,17.12.2016
2016-01772,"Nocturnal hypoglycemia in diabetic
children: influence on cardiac
repolarization and autonomic heart rate
regulation: a prospective descriptive study.",monocentric,Dr.med. Sara Bachmann,"Universitäts-Kinderspital
beider Basel, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,13.12.2016
2016-01777,"Zufriedenheit und Funktionsfähigkeit von
Patienten mit einer Kniegelenksprothese –
eine Fragebogenstudie in der Praxis
LEONARDO",monocentric,"Prof. Dr. med. Markus
Arnold","LEONARDO - Ärzte für
Orthopoädie und
Traumatologie,
Münchenstein","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,13.12.2016
2016-01790,"""Können Sie noch selbstständig
einkaufen?"" - Erhebung der Kognition und
Mobilität",monocentric,PD Dr. med. Näder Helmy,"Klinik für Orthopädie und
Traumatologie,
Bürgerspital Solothurn,
Solothurn","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,26.07.2017
2016-01793,"Agequake in prisons - second part: Mental
health care and forensic evaluation of
aging prisoners and persons serving
security measures in Switzerland",multicentric,"Prof. Dr. med. Bernice
Elger","Institute for Biomedical
Ethics at the University of
Basel, Basel
Forensik-Praxis Bern, CH-
3011 Bern
IBMB, CH-4055 Basel
UNIL, CH-1015 Lausanne
Psychischiatrische
Universitätsklinik Zürich,
CH-8032 Zürich","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Commission
cantonale d'éthique
de la recherche sur
l'être humain Vaud
(CER-VD)",01.02.2017
2016-01794,"Kraftverhältnisse zwischen rectus
abdominis und Add-/ Abduktoren bei
gesunden FussballerInnen",monocentric,Lukas Zahner,"Universität Basel, 4052
Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,05.01.2017
2016-01796,"Retrospektive Analyse von PatientInnen
mit Riesenzellarteriitis am
Universitätsspital Basel von 1997-2016 –
Klinische Prädiktoren für ischämische oder
infektiöse Komplikationen",monocentric,PD Dr. Christoph T. Berger,"University Hospital Basel,
Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,16.10.2017
2016-01804,"Die Kraft der horizontalen
Schulteradduktoren, ein Prädiktor für die
Ellbogenstreckung nach
Trizepsersatzrekonstruktion?
retrospektive Datenanalyse",monocentric,Ines Bersch,"Swiss Paraplegic Center,
Nottwil","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,09.11.2016
2016-01824,"Ist die Konzentration des Anti-Müllerschem
Hormons (AMH) abhängig vom
Menstruationszyklus?",monocentric,"Prof. Dr. med. Christian
De Geyter","USB, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,11.03.2017
2016-01825,"Influence of oral and peri-oral piercings on
dental and periodontal health - a
retrospective study",monocentric,Professor Clemens Walter,"University of Basel, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,15.11.2016
2016-01826,"Retrospective evaluation of free gingival
grafting procedures",monocentric,Professor Clemens Walter,"University of Basel, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,15.11.2016
2016-01827,"Role of dopamine, serotonin and 5-HT2A
receptors in emotion processing (LAM-
Study)",monocentric,"Prof.Dr.med. Matthias
Liechti","University Hospital Basel,
Basel",clinical trial,,B,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,21.12.2016
2016-01837,"Is Anterior Minimal Invasive Total Hip
Arthroplasty A Safe And Reliable Procedure
For Super Old Patients?",monocentric,Dr. med. A. Antoniadis,"Bürgerspital Solothurn,
4500 Solothurn","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,29.05.2017
2016-01838,"Wirkungsweise des Lippen-Wangen-
Zungen-Trainers auf das infantile
Schluckmuster
Effectiveness of the lips-cheeks-tongues
trainer to the infantile swallowing pattern
(In Anlehnung an Pilotstudie Ethik Nr.
2015/211 (a/b)",monocentric,"Dr. med. dent. et pract.
med. Jeanette von
Jackowski","Unispital Basel, Bael",clinical trial,,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,13.01.2017
2016-01841,"Effects of cocoa solids on gastrointestinal
transit and regional brain activity: a
randomized, control trial in healthy
volunteers",monocentric,"Prof. (UK) Dr. med. Mark
Fox","St. Claraspital, Basel",clinical trial,,B,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,21.12.2016
2016-01842,"Ambulatory Energy Expenditure Estimation
in Soldiers",monocentric,Dr. Thomas Wyss,"Eidg. Hochschule für Sport
Magglingen, Magglingen","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,13.12.2016
2016-01846,"Pilot study: New MR Imaging Markers in
Brain Tumours",monocentric,Dr. Jens Wuerfel,"Basel University - DBE,
Allschwil","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,21.12.2016
2016-01848,"Positive and negative influence factors of
Early Breastfeeding during hospital stay
after childbirth - a retrospective analysis of
2400 mother-child pairs of the University
Hospital Basel, Switzerland, between 2014-
2015",monocentric,Hannah Edenhofer,"Frauenklinik, USB Basel,
Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.01.2017
2016-01854,"Clinical and radiographic outcome of dorso-
volar plate osteosynthesis in complex
fractures of the distal radius: A
retrospective study",monocentric,"Dr. med. Philipp
Hongimann","Kantonsspital Baselland,
Liestal","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,28.03.2017
2016-01859,"Short Term Effect of a Glucocorticoids on
Brown Adipose Tissue Thermogenesis in
Humans – a randomized placebo-
controlled interventional study",monocentric,PD Dr. med. Matthias Betz,"Klinik Endokrinologie,
Diabetologie,
Metabolismus,
Universitätsspital Basel,
Basel",clinical trial,phase 4,B,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,10.01.2017
2016-01863,"Validation of smartphone-based self-
tracking apps regarding step count at
different walking speeds – VISTA",monocentric,"Prof. Dr. med. Arno
Schmidt-Trucksäss","University of Basel, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,15.11.2016
2016-01865,"Incidence of AF after cavotricuspid
ablation, predictors and outcome (BEAT-
Flutter Study)",multicentric,Prof. Christian Sticherling,"Universitätspital Basel,
Basel
Solothurner Spitäler AG,
Solothurn
Kantonspital St. Gallen, St.
Gallen","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Ethikkommission
Ostschweiz EKOS",14.02.2017
2016-01867,"Studie zur Validierung eines neu
entwickelten Liquid Jet Aesthesiometers
für die Messung der Hornhautsensibilität",monocentric,Remo Poffa,"Institut für Optometrie,
Hochschule für Technik,
FHNW, Olten",clinical trial,,C,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,17.12.2016
2016-01871,"ETNA-DUS Edoxaban prescription patterns
in Europe: a retrospective drug utilisation
chart review study",multicentric,Prof. Dr. Philippe Lyrer,"University Hospital Basel,
Stroke Center Neurology
(“Site”), and Prof. Dr.
Philippe Lyrer, having a
place of business at
University Hospital Basel,
Basel
Inselspital,
Universitätsspital Bern,
Bern
Kardiologie am Bodensee,
Kreuzlingen
Office of Corrado Molo,
Dr. Med, Bellinzona
Studio Cardiologico
Acquistapace, Manno
Praxis Dr. med. Cleopatra
Morales, Zürich","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Ethikkommission
Ostschweiz EKOS
Kantonale
Ethikkommission Bern
Kantonale
Ethikkommission
Zürich
Comitato etico
cantonale Ticino",15.12.2016
2016-01890,"SPECT/CT for assessment of patellar
tracking and in-vivo loading after total
knee arthroplasty",monocentric,"PD Dr. med. Michal
Hirschmann","Kantonsspital Baselland,
Bruderholz","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,16.12.2016
2016-01893,"International, multicenter, prospective
registry to collect data
of treatment patterns in patients with
bilateral condylar fracture
(BCFx) of the mandible",multicentric,Dr. Florian Thieringer,"Universitätsspital Basel,
Basel
Klinik für Mund-, Kiefer-
und Gesichtschirurgie,
UniversitätsSpital Zürich,
Zürich","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Kantonale
Ethikkommission
Zürich",12.12.2016
2016-01894,CHIld-Parent Immunisation Survey – CHIPS,monocentric,"Prof. Dr. med. Ulrich
Heininger","UKBB, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,28.11.2016
2016-01899,"Vergleich des klinischen Verlaufs von
Infektionen mit unterschiedlichen
Klebsiella Arten von 2014 - 2016
MASTERTHESE",monocentric,"PD Dr. med. Dr. phil.
Adrian Egli, FAMH","Clinical Microbiology
University Hospital, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.12.2016
2016-01903,"Kinematische und elektromyographische
Analysen eines dynamischen Sitzsystems
bei gesunden Erwachsenen",monocentric,Lars Donath,"University of Basel, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,15.12.2016
2016-01905,"Retrospektive Studie über Häufigkeit von
maligne Hyperthermie-verursachenden
Ryanodin-Rezeptor Typ 1 Mutationen in
der Schweiz und deren mögliche
metabolische Wirkung auf den Body Mass
Index der betroffenen Patienten",monocentric,PD Dr. Oliver Bandschapp,"Department Anästhesie,
Universitätsspital Basel,
Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,12.12.2016
2016-01909,"Accuracy of patient specific template-
guided vs. free-hand fluoroscopically
controlled pedicle and lateral mass screw
placement in the subaxial cervical spine: a
randomized cadaveric study",monocentric,"PD Dr. med. MPH Mazda
Farshad","Universitätsklinik Balgrist,
Zürich",deceased persons,,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,15.12.2016
2016-01912,"Aortic Dissection Study –identifying
preoperative risk factors for occurrence,
long term follow up and comparison of the
current predictive scores.",monocentric,PD Dr Denis Berdajs,"Herzchirurgie
Universitätspital, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,09.02.2017
2016-01913,"Identification of subjects with lysosomal
acid lipase deficiency in a large cohort of
hyperlipidemia patients in Switzerland",monocentric,Prof. A. R. Miserez,"diagene GmbH, Reinach","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,06.02.2017
2016-01914,"Changes of mold-specific T cells and NK
cells and impact of polymorphisms in T-
helper 1 Cytokines and Natural Killer (NK)
genes on the Development and Outcome
of Invasive Mold Infections in Patients after
Allogeneic Hematopoietic Stem Cell
Transplantation.",monocentric,PD Dr. Nina Khanna,"University Hospital of
Basel, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,16.12.2016
2016-01927,"Assessment of functional connectivity
using low-density electroencephalography
in patients with focal epilepsy",monocentric,Prof. Krassen Nedeltchev,"Kantonsspital Aarau, 5001
Aarau","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,25.01.2017
2016-01928,"Effect of different concentrations of xylitol
and erythritol on the release of
gastrointestinal peptides and on gastric
emptying rates in healthy normal weight
humans",monocentric,Dr. Bettina Wölnerhanssen,"St. Claraspital Basel, Basel",clinical trial,,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,25.01.2017
2016-01930,"Engraftment pattern in patients with BCR-
ABL negative myeloproliferative
neoplasms: A retrospective cohort study",monocentric,"Prof. Dr. med. Jakob R.
Passweg, M.S.","Klinik für Hämatologie,
Universitätsspital Basel ,
Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,11.01.2017
2016-01939,"(20150162) A Multinational Observational
Study to Evaluate the Safety of Repatha in
Pregnancy",multicentric,"Prof. Dr. med. André
Miserez","Diagene Incorporated
Routine and Research
Laboratories, Reinach
Hopitaux Universitaires de
Geneve, Geneva","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Commission
cantonale d'éthique
de la recherche CCER",09.02.2017
2016-01948,"Evaluation and comparison of diagnostic
devices and image quality software
analysis method in ophthalmology, a
quality assurance project",multicentric,Dr. med. Peter Maloca,"Augenarztpraxis Dr. Peter
Maloca, Luzern
Augenklini
Universitätsspital Basel,
4056 Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,03.01.2017
2016-01950,"Einfluss verbaler Motivation durch den
Coach auf die individuelle Leistung im
CrossFit-Setting",monocentric,Dr. Lars Donath,"University Basel, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.01.2017
2016-01951,"A TWO PART SEAMLESS, OPEN-LABEL,
MULTICENTER STUDY TO INVESTIGATE THE
SAFETY, TOLERABILITY,
PHARMACOKINETICS,
PHARMACODYNAMICS AND EFFICACY OF
RO7034067 IN INFANTS WITH TYPE1
SPINAL MUSCULAR ATROPHY",monocentric,PD DR. Andrea Klein,"Universitätskinderspital
Basel, Basel",clinical trial,phase 2,C,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,25.01.2017
2016-01953,"Glue and PTFE felt neomedia do not
prevent redissection in aortic Type A
dissection",monocentric,Prof. Dr. Friedrich Eckstein,"University Hospital, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,03.01.2017
2016-01960,"Relevance of Dermabacter hominis isolated
from clinical samples, 2012-2016. A
retrospective case series.",monocentric,"Prof. Dr. med. Stefano
Bassetti","University Hospital Basel,
Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,03.01.2017
2016-01966,"High resolution ophthalmic magnetic
resonance imaging at 1.5T: towards a non-
invasive method to assist proton therapy
planning for uveal melanoma",monocentric,Dr. med. Alessia Pica,"Paul Scherrer Institut,
Zentrum für
Protonentherapie, Villigen","non clinical, involving
persons",,B,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,08.02.2017
2016-01973,"Thrombozytenfunktion und Muster der
Thrombozyten-Membranglykoproteine bei
Patienten mit myeloproliferativen
Neoplasien bei Neudiagnose und unter
Therapie.",monocentric,Dr. med. Anita Gähler,"hämatol. Zentrallabor,
6000 Luzern 16","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.01.2017
2016-01976,"Assessing therapeutic COMpliance of
patients treated with cisPLatin plus
radiotherapY in locally advanced squamous
cell carcinoma of the head and neck –
COMPLY",multicentric,PD Dr. Sacha Rothschild,"Universitätsspital Basel
(USB), Klinik für
Onkologie, Petersgraben
4, 4031 Base, Basel
ONCOLOGY INSTITUTE OF
SOUTHERN
SWITZERLAND, OSPEDALE
REGIONALE BELLINZONA E
VALLLI , Bellinzona
Kantonsspital Winterthur,
Winterthur","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ","Kantonale
Ethikkommission
Zürich
Comitato etico
cantonale Ticino",12.01.2017
2016-01987,"Anatomical ShoulderTM Domelock System
A Multicenter, Prospective, Non-Controlled
Post-Market Clinical Follow-up Study",monocentric,"PD Dr. med. Andreas
Müller","Universitätsspital Basel,
Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,23.10.2017
2016-01995,"Anesthesiological Challenges in Patients
with Spinal Cord Injury: A Single Centre,
Retrospective 3 Year Analysis of
perioperative Datasets in 1886 Cases in a
Specialized Centre in Switzerland",monocentric,PD Dr. med. Markus Béchir,"Schweizer Paraplegiker-
Zentrum, Nottwil","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,24.04.2017
2016-01996,"Gegenseitige Beeinflussung von
Sinneswahrnehmungen",monocentric,Prof. Antje Welge-Lüssen,"HNO Klinik,
Universitätsspital Basel ,
Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,11.01.2017
2016-01999,"Optimization of Ablation for Amelioration
of Success Outcome in Patients with Atrial
Fibrillation (AFARA) - Registry",monocentric,PD Dr. med. Richard Kobza,"Luzerner Kantonsspital,
Luzern","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,11.01.2017
2016-02001,"Effect of Augmented Reality Exergaming on
Physical Activity in Overweight Adults
(Active Through Augmented Reality –
AVATAR)",monocentric,"Prof. Dr. Arno Schmidt-
Trucksäss","University of Basel, Basel","non clinical, involving
persons",,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,11.01.2017
2016-02002,LUKS-Leads Register,monocentric,PD Dr. med. Richard Kobza,"Luzerner Kantonsspital,
Luzern","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,02.01.2017
2016-02003,"Impact of perioperative maintenance or
interruption of low-dose Aspirin on
recurrence rate and thrombotic Events
after burr-hole drainage of chronic
subdural hematoma: a randomized,
placebocontrolled, double blinded study",monocentric,Dr. Jehuda Soleman,"University Hospital Basle,
Basel",clinical trial,phase 4,B,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,05.04.2017
2016-02009,"The p3 concept in the treatment of delayed
unions and non-unions: A retrospective
case series",monocentric,"Professor Dr. med.
Norbert Suhm","Department of
Orthopaedics and
Traumatology University
Hospital of Basel, Basel","personal
data/biological material",,,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,24.04.2017
2016-02014,"Evaluation of Ablation Index and VISITAGTM
use for Pulmonary Vein Isolation (PVI) in
Patients with Paroxysmal Atrial Fibrillation
(PAF)",monocentric,Dr. Richard Kobza,"Luzerner Kantonsspital,
Luzern",clinical trial,,A,"Ethikkommission
Nordwest- und
Zentralschweiz EKNZ",,28.03.2017
